fecha,AKITO,ALBA,AMSTERDAM,ATOMIC,BIKINI,BLUEBERRY,BOULEVARD,BRIGHTON,CABARET,CARPE DIEM,CHERRY-O,COOL WATER,CORAL REEF,CREME de la CREME,CUBANA,DEEP PURPLE,ESCIMO,ESPERANCE,EXPLORER,FREE SPIRIT,FREEDOM,GOTCHA,HEARTS,HERMOSA,HIGH & EXOTIC,HIGH & MAGIC,HIGH & ORANGE,HOT EXPLORER,KAHALA,LEMONADE,LIGHT HOUSE,LOLA,MAGIC TIMES,MONDIAL,MOODY BLUES,MOONSTONE,NAUTICA,NECTARINE,NENA,NINA,NOVIA,OCEAN SONG,ORANGE CRUSH,PALOMA,PINK FLOYD,PINK MARTINI,PLAYA BLANCA,POLAR STAR,POLO,PROUD,QUICKSAND,ROSEBERRY,SAHARA,SHIMMER,SNOWY JEWEL,SWEET ESCIMO,SWEET UNIQUE,TIBET,TIFFANY,TITANIC,TYCOON,VENDELA,WHITE CHOCOLATE
2024-01-31,23921.863,3276.2214,3921.8577,3420.3804,1771.3079,2615.99,5446.3223,5620.048,11533.493,7228.795,4491.7695,14036.449,6189.8086,13551.352,6256.1167,21009.898,8307.288,38891.066,137291.55,23635.43,179186.22,9403.676,20669.576,10010.063,13215.395,14241.237,4795.358,11148.841,9952.108,6541.0283,7061.8213,5564.433,4731.606,77049.36,11384.021,4732.866,4810.196,4938.276,8348.606,12893.907,11004.556,12204.137,14613.854,13038.383,68176.62,2485.9146,29965.75,4660.3926,8068.648,6274.315,15879.283,3334.8792,1678.2612,15017.608,6034.1226,12106.319,10595.419,29182.53,8019.1846,11846.568,3993.1204,79432.65,8737.773
2024-02-29,15084.716,10143.2,6038.3945,1668.2734,3559.3777,2494.5747,15839.629,7761.6123,16573.771,6415.91,3562.9192,12351.326,8330.707,6163.7876,6049.395,27920.959,6459.9863,41830.1,313159.88,16329.078,301941.94,22238.232,14024.253,23092.55,9134.657,23198.176,4971.54,13629.956,10806.548,7469.075,4256.144,6804.303,8762.94,145890.89,15017.197,8584.38,6406.653,5688.781,22434.984,22207.635,13897.548,16200.989,13757.314,14094.467,58636.29,4426.6934,24846.127,10576.445,4473.3706,11104.782,10789.964,5402.898,1777.0541,16852.777,3270.1748,11411.709,11892.091,24437.299,15279.603,11897.409,4626.365,75743.914,21117.28
2024-03-31,8918.2,6437.5923,3132.486,657.7957,3614.6108,900.97986,9152.398,6671.2163,10931.155,5304.9146,2348.472,8081.59,4722.8564,6310.0444,3048.3093,20930.668,8060.014,22196.215,151159.58,15015.583,164146.36,9092.31,7879.2803,8331.96,15448.106,19040.957,3929.6106,4131.8623,5860.1255,7980.2144,4109.978,5304.9443,5975.891,80019.61,8859.725,10263.765,5028.9033,3861.946,13661.023,16107.424,8451.1875,12129.564,6059.099,8525.67,54428.777,2841.4226,20879.852,5026.536,5554.5938,10474.311,12419.638,5439.6406,2871.0425,10573.508,3648.052,13795.722,12284.876,16858.844,7804.6763,8225.24,10176.312,96907.72,8978.314
2024-04-30,14449.959,4716.204,3749.7402,2691.5654,1851.8478,2800.3616,6285.312,7800.6167,9461.05,5601.4443,3988.9348,15259.626,7514.4404,11896.825,5698.9863,19735.764,10093.651,27302.98,99627.52,22768.195,181135.27,9854.452,13895.613,7495.107,19146.152,20783.941,4661.5586,5072.712,6108.8374,6981.124,4552.3296,6252.279,4253.137,71020.37,12340.369,6412.25,4409.56,4321.601,10329.047,10584.845,10207.701,16176.569,11775.4375,6983.534,45764.16,3014.7666,29980.707,3600.8564,8871.049,8998.535,24576.875,3731.4563,2728.7388,14382.178,4360.487,13732.095,11731.895,18646.805,7913.293,9991.915,3197.1162,86508.76,6567.958
2024-05-31,15107.367,5813.3213,4093.839,2985.81,3261.8113,3877.6948,12598.877,8091.514,13152.564,7201.1445,4144.6025,8850.709,7308.8745,8580.55,8275.715,25691.19,11413.61,38089.6,208737.22,23753.26,212109.75,13371.37,13786.588,15799.856,25048.527,25295.273,5617.091,8676.532,8601.804,5902.194,6523.215,5400.7354,5673.3867,95546.266,10158.876,5201.662,5827.3447,4981.2427,17504.13,14484.065,10904.727,22157.521,15386.495,8015.5024,59536.547,4391.694,36146.35,7523.275,9369.829,9217.308,30493.37,6095.624,1843.052,17652.727,4072.9224,14351.411,14901.211,34158.426,10473.514,9574.029,4381.504,106353.8,9661.284
2024-06-30,12289.402,4433.634,3386.316,1156.9749,3201.8135,1186.8387,6907.567,5125.5796,11079.674,4479.5,1731.9796,7970.679,3199.6516,7161.1987,3899.9072,17627.08,8497.478,18463.186,110703.1,14610.946,119226.95,6900.528,5310.5137,7475.675,14026.178,18228.695,3839.1633,5718.362,5009.339,4047.8901,4262.309,5774.4204,3900.0967,73903.84,7972.621,9111.305,5055.925,4116.0967,11278.186,9682.529,6406.1436,16270.917,5956.7627,3985.2222,42552.047,2453.0496,27419.736,8458.788,8887.228,7544.839,29740.14,3843.611,1072.1641,13343.135,4718.4023,10632.629,12526.263,18264.96,9892.972,7952.7095,4916.3813,88360.9,9266.5625
2024-07-31,8829.177,3742.8162,2113.5623,860.80884,1683.2799,1483.6752,5224.595,4890.396,6468.03,2787.684,3472.0476,9452.281,2449.5156,5934.9707,2569.5083,11918.854,5135.2593,12945.035,81149.63,13052.607,72608.34,5862.9253,4844.23,5579.277,9250.051,13884.894,2760.0515,3320.3767,3759.5757,3168.0852,1671.9476,4512.6064,1287.0148,48758.78,4199.0293,5741.663,3162.242,2618.9487,6214.0005,7312.2363,5432.6924,11975.457,7158.404,2324.842,40854.906,1419.5233,25211.01,3771.5415,3591.1377,5766.017,14022.123,2319.991,1064.927,7613.759,2429.6672,9028.068,8939.064,18648.797,4794.227,2858.0225,1133.198,56598.277,5142.0513
2024-08-31,10513.158,4668.0005,1958.0336,567.816,1961.7552,2839.4512,7787.642,5552.008,12118.521,3219.066,2794.2173,6911.8535,4862.4756,4253.5815,5589.76,15943.99,9489.04,20635.135,76585.836,9841.809,137831.02,6056.0977,9177.285,11480.805,13847.859,20694.543,4506.0435,4982.297,6647.5244,3237.285,4388.3525,4333.2627,3384.9392,60257.19,7096.943,5742.137,3672.9407,3502.7302,9934.147,11842.206,7741.992,13954.095,9594.009,4153.869,37473.594,2211.2295,24231.266,7735.903,5925.8125,6844.205,17520.238,2903.3728,1658.0408,11993.509,3195.569,11197.909,9604.616,23539.432,7338.222,7235.398,3378.1667,71165.55,7036.7334
2024-09-30,14082.069,7857.418,2951.714,1663.3809,4734.3438,1789.1682,10302.683,6722.9917,8588.62,5449.6694,1430.0919,8398.358,5386.003,4427.6187,5260.695,17927.895,20415.775,26740.414,164463.48,13458.431,154310.52,12248.487,7707.023,11906.285,17776.922,27175.217,4005.7488,8478.105,8093.164,6391.998,5295.1113,5957.97,3910.7986,84012.95,9751.965,5540.6587,4564.467,4273.825,17264.393,13184.637,6435.5054,20128.854,9798.221,6840.07,49999.023,2794.7751,36529.95,10042.12,10445.777,8953.648,26552.87,2794.1416,1634.4747,13716.49,3726.0032,12003.138,16738.383,21589.703,10401.91,7067.925,8005.7993,90109.55,8916.147
2024-10-31,10890.316,3811.5835,2705.5999,1168.5905,1905.0923,1904.2903,7698.955,6407.9927,7596.7617,4611.245,2217.1113,11240.872,5295.451,4416.493,3265.152,16428.564,11714.878,19075.355,117348.5,14946.414,106063.72,13171.385,6786.2837,7424.9277,14714.812,18694.248,4607.3984,4776.0264,3885.4702,6011.112,6873.9507,4298.4263,1819.167,62233.266,10547.048,6186.6694,3571.0833,3459.9495,10316.769,15555.309,5758.9766,21441.62,12575.235,4630.0337,47053.742,2686.8967,30482.418,4231.9575,7417.858,4936.9697,25084.705,3184.2126,1626.5328,10381.139,2886.3467,10870.652,11538.33,23895.59,5483.329,6990.975,7965.6655,63825.2,7371.6333
2024-11-30,9962.669,3489.5388,2007.839,1.2192594,1831.3313,1510.7759,7360.5347,5175.994,6504.344,1523.66,487.42874,5114.106,4647.669,2626.9998,5001.7314,10342.679,9929.004,19561.756,114331.94,7512.661,125827.875,8175.8794,3151.1997,9069.646,6988.5723,11958.793,1310.1729,6091.046,4480.73,4882.928,4521.6704,3739.4246,3471.3738,64390.08,7655.83,6603.9565,4102.434,2796.8225,8671.678,13687.264,6426.8525,15794.933,12620.239,2023.7585,33200.504,844.0137,31841.207,4817.5146,5505.6353,3898.2722,11500.514,1017.5123,1032.0092,11072.191,2346.4377,6818.8164,9032.801,26772.133,6340.3545,6772.796,2276.144,64233.695,6428.8438
2024-12-31,8741.781,2183.4185,1190.0074,493.84006,1791.8711,1068.5703,6915.2573,4605.203,2157.155,1628.1638,34.48323,3626.2876,1778.323,3121.403,3096.591,6128.715,9707.193,13687.626,95641.734,4915.4043,50011.13,5168.473,1245.401,2837.3374,4875.034,7546.4355,676.70856,5358.585,4094.5215,2957.4246,2045.3398,3558.3303,2672.4348,61801.945,3703.3994,3008.1084,2091.7598,1705.1997,5907.484,6414.9395,5711.966,11577.726,6149.354,2787.0051,27728.867,1140.7261,31918.604,4652.81,3875.8643,2358.7488,6350.6265,178.8449,15.3332815,4348.2124,2399.7502,2834.4543,4750.493,19081.41,4142.926,2465.3145,157.10838,56455.82,5075.804
